page_number,line_number,event_number,event_name,athlete_name,age,club_name,rank_position,seed_time_text,result_time_text,result_time_ms,status,raw_line
3,41,3,women 65-69 50 LC Meter butterfly,"Pinto Galleguillos, Rosario Soledad",67,Penñalolen Master,1,"1:10,00","58,40",58400,valid,"1 Pinto Galleguillos, Rosario Soledad 67 Penñalolen Master 1:10,00 58,40"
3,42,3,women 65-69 50 LC Meter butterfly,"Concha, Elizabeth",68,Nunoa Master,2,"1:12,00","1:18,29",78290,valid,"2 Concha, Elizabeth 68 Nunoa Master 1:12,00 1:18,29"
3,44,4,men 19 & Under 50 LC Meter butterfly,"Rodriguez, Joaquin",19,Agua Plena San Rafael,1,"37,00","39,61",39610,valid,"1 Rodriguez, Joaquin 19 Agua Plena San Rafael 37,00 39,61"
3,46,4,men 20-24 50 LC Meter butterfly,"Flores, Jose Luis",20,Pedro Aguirre Cerda,1,"34,60","34,64",34640,valid,"1 Flores, Jose Luis 20 Pedro Aguirre Cerda 34,60 34,64"
3,47,4,men 20-24 50 LC Meter butterfly,"Gonzalez, Joaquin",23,Natacion Master Recoleta,2,"34,50","34,98",34980,valid,"2 Gonzalez, Joaquin 23 Natacion Master Recoleta 34,50 34,98"
3,48,4,men 20-24 50 LC Meter butterfly,"Rivas, Leo",24,Azul Natacion Mendoza,3,"41,32","36,70",36700,valid,"3 Rivas, Leo 24 Azul Natacion Mendoza 41,32 36,70"
3,49,4,men 20-24 50 LC Meter butterfly,"Caro, Martin",20,Pedro Aguirre Cerda,4,"36,70","37,41",37410,valid,"4 Caro, Martin 20 Pedro Aguirre Cerda 36,70 37,41"
3,50,4,men 20-24 50 LC Meter butterfly,"Trilla, Ignacio",21,Azul Natacion Mendoza,5,"46,90","45,77",45770,valid,"5 Trilla, Ignacio 21 Azul Natacion Mendoza 46,90 45,77"
4,5,4,men 20-24 50 LC Meter butterfly,"Torres, Tomas",22,Golden,6,"52,00","47,40",47400,valid,"6 Torres, Tomas 22 Golden 52,00 47,40"
4,7,4,men 25-29 50 LC Meter butterfly,"Bulnes, Martin",27,Golden,1,"1:00,00","32,69",32690,valid,"1 Bulnes, Martin 27 Golden 1:00,00 32,69"
4,8,4,men 25-29 50 LC Meter butterfly,"Caro, Cristobal",26,Pedro Aguirre Cerda,2,"33,20","32,98",32980,valid,"2 Caro, Cristobal 26 Pedro Aguirre Cerda 33,20 32,98"
4,9,4,men 25-29 50 LC Meter butterfly,"Moreno, Julian",29,Aquaclub Maipu,3,"36,41","34,61",34610,valid,"3 Moreno, Julian 29 Aquaclub Maipu 36,41 34,61"
4,10,4,men 25-29 50 LC Meter butterfly,"Gonzalez, Daniel",27,Nunoa Master,4,"33,00","34,98",34980,valid,"4 Gonzalez, Daniel 27 Nunoa Master 33,00 34,98"
4,11,4,men 25-29 50 LC Meter butterfly,"Bolanños, Kleiber",29,Pedro Aguirre Cerda,5,"36,40","36,46",36460,valid,"5 Bolanños, Kleiber 29 Pedro Aguirre Cerda 36,40 36,46"
4,12,4,men 25-29 50 LC Meter butterfly,"Fernandez Morales, Nelson",26,Club Deportivo UC,6,"34,67","37,03",37030,valid,"6 Fernandez Morales, Nelson 26 Club Deportivo UC 34,67 37,03"
4,13,4,men 25-29 50 LC Meter butterfly,"Rodriguez, Santi",27,Azul Natacion Mendoza,7,"50,20","37,20",37200,valid,"7 Rodriguez, Santi 27 Azul Natacion Mendoza 50,20 37,20"
4,14,4,men 25-29 50 LC Meter butterfly,"Aguilera, Gonzalo",27,Penñalolen Master,8,"45,00","39,12",39120,valid,"8 Aguilera, Gonzalo 27 Penñalolen Master 45,00 39,12"
4,15,4,men 25-29 50 LC Meter butterfly,"Monsalve, Nicolas",27,Natacion Master Recoleta,9,"40,54","39,17",39170,valid,"9 Monsalve, Nicolas 27 Natacion Master Recoleta 40,54 39,17"
4,16,4,men 25-29 50 LC Meter butterfly,"Avila, Franco",26,Penñalolen Master,10,"50,00","40,16",40160,valid,"10 Avila, Franco 26 Penñalolen Master 50,00 40,16"
4,17,4,men 25-29 50 LC Meter butterfly,"Yanñez, Sebastian",27,Natacion Master Recoleta,11,"40,54","41,16",41160,valid,"11 Yanñez, Sebastian 27 Natacion Master Recoleta 40,54 41,16"
4,18,4,men 25-29 50 LC Meter butterfly,"Walder, Raul",26,100 por Ciento Swim,12,NT,"44,98",44980,valid,"12 Walder, Raul 26 100 por Ciento Swim NT 44,98"
4,19,4,men 25-29 50 LC Meter butterfly,"Ros, Matias",29,Aquaclub Maipu,13,"50,00","46,01",46010,valid,"13 Ros, Matias 29 Aquaclub Maipu 50,00 46,01"
4,20,4,men 25-29 50 LC Meter butterfly,"Valenzuela, Osvaldo",26,Natacion Master Recoleta,14,"49,55","49,61",49610,valid,"14 Valenzuela, Osvaldo 26 Natacion Master Recoleta 49,55 49,61"
4,21,4,men 25-29 50 LC Meter butterfly,"Perez, Maximiliano",28,Agua Plena San Rafael,,"38,00",DQ,,dsq,"--- Perez, Maximiliano 28 Agua Plena San Rafael 38,00 DQ"
4,23,4,men 30-34 50 LC Meter butterfly,"Lagos, Rodrigo",30,Natacion Master Recoleta,1,"58,00","29,01",29010,valid,"1 Lagos, Rodrigo 30 Natacion Master Recoleta 58,00 29,01"
4,24,4,men 30-34 50 LC Meter butterfly,"Lucero, Mauricio",32,Ciudad de Mendoza,2,"29,91","29,47",29470,valid,"2 Lucero, Mauricio 32 Ciudad de Mendoza 29,91 29,47"
4,25,4,men 30-34 50 LC Meter butterfly,"Parra, Nicolas",30,Pedro Aguirre Cerda,3,"30,10","30,10",30100,valid,"3 Parra, Nicolas 30 Pedro Aguirre Cerda 30,10 30,10"
4,26,4,men 30-34 50 LC Meter butterfly,"Nava, Juan",30,Nunoa Master,4,"29,75","30,47",30470,valid,"4 Nava, Juan 30 Nunoa Master 29,75 30,47"
4,27,4,men 30-34 50 LC Meter butterfly,"Becerra, Martin",30,Pedro Aguirre Cerda,5,"34,20","33,77",33770,valid,"5 Becerra, Martin 30 Pedro Aguirre Cerda 34,20 33,77"
4,28,4,men 30-34 50 LC Meter butterfly,"Carrasco, Moises",31,Nunoa Master,6,"37,00","36,78",36780,valid,"6 Carrasco, Moises 31 Nunoa Master 37,00 36,78"
4,29,4,men 30-34 50 LC Meter butterfly,"Sayago, Alexis",33,Nunoa Master,7,"35,08","37,21",37210,valid,"7 Sayago, Alexis 33 Nunoa Master 35,08 37,21"
4,30,4,men 30-34 50 LC Meter butterfly,"Pacheco Juri, Jose Tomas",30,Club Deportivo UC,8,"35,00","37,69",37690,valid,"8 Pacheco Juri, Jose Tomas 30 Club Deportivo UC 35,00 37,69"
4,31,4,men 30-34 50 LC Meter butterfly,"Orrego, Ariel",31,Calambre Swim Team,9,"40,00","38,08",38080,valid,"9 Orrego, Ariel 31 Calambre Swim Team 40,00 38,08"
